MASSIVO;COD. FORN.;CNPJ;FORNECEDOR;COD. LOJA;ITEM LOJA;LOJA;SIGLA;DATA DE APROVAÇÃO ;OS;RESPONSÁVEL;NF;EMISSÃO ;VENCIMENTO;DATA LANÇAMENTO ;TIPO DE SP;TIPO DE PAG.;FORMA DE PAG.;FINALIDADE;RATEIO ;CENTRO DE CUSTO;CC.DESPESA;ÁREA;CLASSIFICAÇÃO ;CATEGORIA;TIPO;ORÇAMENTO ;PROJETO CAPEX;DISTRITO;COORDENADOR;REGIONAL;VALOR;DESCRIÇÃO ;CNPJ LOJA1;CNPJ LOJA2
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0078;0078;PETZ JARDIM ICARAÍ;JDIC-RJ;01/11/2022;PREVENTIVA;PIETRA;000105314;13/11/2024;24/04/2024;04/04/2024;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 1.797,38 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. NOVEMBRO/22;18328118018237;18.328.118/0182-37
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0174;0174;PETZ ILHA DO GOVERNADOR;ILHG-RJ;01/11/2022;PREVENTIVA;PIETRA;000107983;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;;CONTRATOS;;RJ-ES;MARYANE;R1; R$ 456,10 ;MANUTENÇÃO PREVENTIVA;18328118016960;18.328.118/0169-60
567688;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0151;0151;PETZ VILA MARIANA;VLMA-SP;24/11/2022;567688;;;;;;000005;3;1;8;N;11002;11002;;AR CONDICIONADO;CORRETIVA;M.O. E MATERIAL;OPEX;;SP2;FELICIO;R3; R$ 1.200,00 ;TESTES E RECARGA DE FLUÍDO REFRIGERANTE EM EQUIPAMENTO Q ATENDE AO CPD;18328118014835;18.328.118/0148-35
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0039;0039;CENTRO DE DISTRIBUICAO;CDEM-SP;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;CD;MARYANE;CD; R$ 741,65 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118003809;18.328.118/0038-09
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0208;0208;PETZ AVENIDA ANGELICA;ANGL-SP;01/12/2022;PREVENTIVA;PIETRA;000105412;13/11/2023;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP2;FELICIO;R3; R$ 741,65 ;MANUTENÇÃO PREVENTIVA;18328118019551;18.328.118/0195-51
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0154;0154;PETZ BOTAFOGO POLIDORO;BFGO-RJ;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 1.197,37 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118015483;18.328.118/0154-83
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0230;0230;PETZ CAMPO GRANDE RIO;CGDR-RJ;01/12/2022;PREVENTIVA;PIETRA;000107979;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 724,68 ;MANUTENÇÃO PREVENTIVA;18.328.118/0241-21;18.328.118/0241-21
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0094;0094;PETZ COPACABANA;CPCB-RJ;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 1.197,37 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118008940;18.328.118/0089-40
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0020;0215;PETZ EXTRA BARRA DA TIJUCA;BRTJ-RJ;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 1.224,66 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118000370;18.328.118/0003-70
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0063;0063;PETZ MARACANÃ;MCNA-RJ;01/12/2022;PREVENTIVA;PIETRA;000107318;03/01/2024;20/03/2024;06/03/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ-ES;MARYANE;R1; R$ 400,00 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118006301;18.328.118/0063-01
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0059;0059;PETZ POMPÉIA;POMP-SP;01/12/2022;PREVENTIVA;PIETRA;000107313;03/01/2024;20/03/2024;06/03/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP2;FELICIO;R3; R$ 800,00 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118005763;18.328.118/0057-63
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0010;0010;PETZ SANTA CECILIA;STCE-SP;01/12/2022;PREVENTIVA;PIETRA;000104044;06/10/2023;24/04/2024;04/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP2;FELICIO;R3; R$ 741,65 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118001938;18.328.118/0019-38
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0177;0177;PETZ TEODORO SAMPAIO;TEOD-SP;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP2;FELICIO;R3; R$ 758,55 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118016455;18.328.118/0164-55
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0178;0178;PETZ VICENTE RAO;VRAO-SP;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP1;MARYANE;R1; R$ 758,55 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118017699;18.328.118/0176-99
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0151;0151;PETZ VILA MARIANA;VLMA-SP;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP2;FELICIO;R3; R$ 758,55 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. DEZEMBRO/22;18328118014835;18.328.118/0148-35
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0039;0039;CENTRO DE DISTRIBUICAO;CDEM-SP;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;CD;MARYANE;CD; R$ 758,55 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. DEZEMBRO/22;18328118003809;18.328.118/0038-09
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0230;0230;PETZ CAMPO GRANDE RIO;CGDR-RJ;01/12/2022;PREVENTIVA;PIETRA;000107951;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;RJ;MARYANE;R1; R$ 600,00 ;MANUTENÇÃO PREVENTIVA;18.328.118/0241-21;18.328.118/0241-21
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0020;0215;PETZ EXTRA BARRA DA TIJUCA;BRTJ-RJ;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;RJ;MARYANE;R1; R$ 1.224,66 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. DEZEMBRO/22;18328118000370;18.328.118/0003-70
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0059;0059;PETZ POMPÉIA;POMP-SP;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;SP2;FELICIO;R3; R$ 758,55 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. DEZEMBRO/22;18328118005763;18.328.118/0057-63
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0177;0177;PETZ TEODORO SAMPAIO;TEOD-SP;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;SP2;FELICIO;R3; R$ 758,55 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. DEZEMBRO/22;18328118016455;18.328.118/0164-55
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0178;0178;PETZ VICENTE RAO;VRAO-SP;01/12/2022;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;SP1;MARYANE;R1; R$ 758,55 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. DEZEMBRO/22;18328118017699;18.328.118/0176-99
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0151;0151;PETZ VILA MARIANA;VLMA-SP;01/12/2022;PREVENTIVA;PIETRA;000104039;06/10/2023;24/04/2024;04/04/2024;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;SP2;FELICIO;R3; R$ 741,65 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. DEZEMBRO/22;18328118014835;18.328.118/0148-35
578938;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0011;0045;PETZ AUGUSTA;AUGT-SP;14/12/2022;578938;;;;;;000005;3;1;8;N;11002;11002;;EQUIPAMENTOS;EMERGENCIAL;M.O.;OPEX;;SP2;FELICIO;R3; R$ 400,00 ;CHAMADO EMERGENCIAL - BOILER;18328118001776;18.328.118/0017-76
578941;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0010;0010;PETZ SANTA CECILIA;STCE-SP;14/12/2022;578941;PIETRA;000107846;05/01/2024;24/04/2024;12/04/2024;000030;3;1;8;N;11002;11002;;AR CONDICIONADO;EMERGENCIAL;M.O.;OPEX;;SP2;FELICIO;R3; R$ 400,00 ;MANUTENÇÃO PREVENTIVA;18328118001938;18.328.118/0019-38
578942;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0060;0060;PETZ PACAEMBU;PCBU-SP;14/12/2022;578942;;;;;;000005;3;1;8;N;11002;11002;;AR CONDICIONADO;EMERGENCIAL;M.O.;OPEX;;SP2;FELICIO;R3; R$ 400,00 ;CHAMADO EMERGENCIAL - AR CONDICIONADO;18328118006220;18.328.118/0062-20
578943;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0135;0135;PETZ CARREFOUR ANCHIETA;ANCH-SP;14/12/2022;578943;;;;;;000005;3;1;8;N;11002;11002;;AR CONDICIONADO;EMERGENCIAL;M.O.;OPEX;;SP3;FELICIO;R3; R$ 400,00 ;CHAMADO EMERGENCIAL - AR CONDICIONADO;18328118012549;18.328.118/0125-49
579121;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0052;0052;PETZ JUSCELINO KUBITSCHEK;ITAM-SP;14/12/2022;579121;PIETRA;000107950;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;EMERGENCIAL;M.O.;OPEX;;SP1;MARYANE;R1; R$ 400,00 ;MANUTENÇÃO PREVENTIVA;18328118005682;18.328.118/0056-82
489289;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0135;0135;PETZ CARREFOUR ANCHIETA;ANCH-SP;16/12/2022;489289;;;;;;000005;3;1;08;N;11002;11002;;AR CONDICIONADO;CORRETIVA;M.O. E MATERIAL;OPEX;;SP3;FELICIO;R3; R$ 400,00 ;CHAMADO DE AR CONDICIONADO;18328118012549;18.328.118/0125-49
538781;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0174;0174;PETZ ILHA DO GOVERNADOR;ILHG-RJ;16/12/2022;538781;;;;;;000005;3;1;08;N;11002;11002;;AR CONDICIONADO;CORRETIVA;M.O. E MATERIAL;OPEX;;RJ-ES;MARYANE;R1; R$ 1.200,00 ;03 CHAMDOS DE AR CONDICIOANADO;18328118016960;18.328.118/0169-60
554644;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0053;0053;PETZ BARRA JAC;BAME-RJ;16/12/2022;554644;;;;;;000005;3;1;08;N;11002;11002;;AR CONDICIONADO;CORRETIVA;M.O. E MATERIAL;OPEX;;RJ-ES;MARYANE;R1; R$ 800,00 ;CHAMADO DE AR CONDICIONAL NO FINAL DE SEMANA.;18328118005410;18.328.118/0054-10
559951;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0082;0082;PETZ VITORIA;VTRA-ES;16/12/2022;559951;PIETRA;000107939;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;CORRETIVA;M.O. E MATERIAL;OPEX;;RJ-ES;MARYANE;R1; R$ 600,00 ;MANUTENÇÃO PREVENTIVA;18328118008002;18.328.118/0080-02
567006;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0010;0010;PETZ SANTA CECILIA;STCE-SP;16/12/2022;567006;;;;;;000005;3;1;08;N;11002;11002;;AR CONDICIONADO;CORRETIVA;M.O. E MATERIAL;OPEX;;SP2;FELICIO;R3; R$ 400,00 ;CHAMADO DE AR CONDICIONADO;18328118001938;18.328.118/0019-38
570607;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0167;0167;PETZ SERRA;SERR-ES;16/12/2022;570607;;;;;;000005;3;1;08;N;11002;11002;;AR CONDICIONADO;CORRETIVA;M.O. E MATERIAL;OPEX;;RJ-ES;MARYANE;R1; R$ 400,00 ;CHAMADO DE AR CONDICIONADO;18328118015807;18.328.118/0158-07
575208;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0060;0060;PETZ PACAEMBU;PCBU-SP;16/12/2022;575208;;;;;;000005;3;1;08;N;11002;11002;;AR CONDICIONADO;CORRETIVA;M.O. E MATERIAL;OPEX;;SP2;FELICIO;R3; R$ 400,00 ;CHAMADO DE AR CONDICIONADO;18328118006220;18.328.118/0062-20
580068;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0052;0052;PETZ JUSCELINO KUBITSCHEK;ITAM-SP;16/12/2022;580068;PIETRA;000107952;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;EMERGENCIAL;M.O.;OPEX;;SP1;MARYANE;R1; R$ 600,00 ;MANUTENÇÃO PREVENTIVA;18328118005682;18.328.118/0056-82
581895;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0104;0104;PETZ VILA VELHA;VLVL-ES;20/12/2022;581895;PIETRA;000107954;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;CORRETIVA;M.O.;OPEX;;RJ-ES;MARYANE;R1; R$ 400,00 ;MANUTENÇÃO PREVENTIVA;18328118009831;18.328.118/0098-31
585934;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0052;0052;PETZ JUSCELINO KUBITSCHEK;ITAM-SP;27/12/2022;585934;PIETRA;000107956;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;EMERGENCIAL;M.O.;OPEX;;SP1;MARYANE;R1; R$ 400,00 ;MANUTENÇÃO PREVENTIVA;18328118005682;18.328.118/0056-82
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0039;0039;CENTRO DE DISTRIBUICAO;CDEM-SP;01/01/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;CD;MARYANE;CD; R$ 741,65 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. Janeiro/22;18328118003809;18.328.118/0038-09
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0041;0041;PETZ ALTO DA BOA VISTA;ABVT-SP;01/01/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP1;MARYANE;R1; R$ 741,65 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. Janeiro/22;18328118004015;18.328.118/0040-15
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0230;0230;PETZ CAMPO GRANDE RIO;CGDR-RJ;01/01/2023;PREVENTIVA;PIETRA;000107374;04/01/2024;20/03/2024;07/03/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 400,00 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. Janeiro/22;18.328.118/0241-21;18.328.118/0241-21
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0017;0017;PETZ CARREFOUR SAO CAETANO;SCSU-SP;01/01/2023;PREVENTIVA;PIETRA;000107984;05/01/2024;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP3;FELICIO;R3; R$ 370,58 ;MANUTENÇÃO PREVENTIVA;18328118000532;18.328.118/0005-32
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0111;0111;PETZ GIOVANNI GRONCHI;GVGC-SP;01/01/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP1;MARYANE;R1; R$ 741,65 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. Janeiro/22;18328118010767;18.328.118/0107-67
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0104;0104;PETZ VILA VELHA;VLVL-ES;01/01/2023;PREVENTIVA;PIETRA;000107804;04/01/2024;24/04/2024;04/04/2024;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;;CONTRATOS;;RJ-ES;MARYANE;R1; R$ 600,00 ;MANUTENÇÃO PREVENTIVA DE PREDIAL REF. Janeiro/22;18328118009831;18.328.118/0098-31
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0039;0039;CENTRO DE DISTRIBUICAO;CDEM-SP;01/01/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;CD;MARYANE;CD; R$ 741,65 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. Janeiro/22;18328118003809;18.328.118/0038-09
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0230;0230;PETZ CAMPO GRANDE RIO;CGDR-RJ;01/01/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;RJ;MARYANE;R1; R$ 1.197,37 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. Janeiro/22;18.328.118/0241-21;18.328.118/0241-21
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0111;0111;PETZ GIOVANNI GRONCHI;GVGC-SP;01/01/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;SP1;MARYANE;R1; R$ 741,65 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. Janeiro/22;18328118010767;18.328.118/0107-67
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0116;0116;PETZ SANTO ANDRE DOM PEDRO;SADP-SP;01/01/2023;PREVENTIVA;PIETRA;000106093;01/12/2024;08/05/2024;24/04/2024;000030;3;1;08;N;11002;11002;;PREDIAL;PREVENTIVA;CIVIL;CONTRATOS;;SP3;FELICIO;R3; R$ 741,65 ;MANUTENÇÃO PREVENTIVA PREDIAL REF. Janeiro/22;18328118011062;18.328.118/0110-62
595728;00255272;38.344.972/0001-76;GEMANS ENGENHARIA LTDA;04 0235;0235;PETZ PARNAMIRIM;PNMR-PE;12/01/2023;595728;;;;;;000005;3;1;08;N;11002;11002;;PREDIAL;CORRETIVA;CIVIL;CAPEX;CIVIL;NE1;MARYANE;R1; R$ 2.600,00 ;FORNECIMENTO DE NOVO ESQUADRO E TODOS OS PONTOS, SUBSTITUIÇÃO DO TRILHO DE ALUMÍNIO POR UM DE FERRO, FIXAÇÃO E REINSTALAÇÃO DA PORTA ESTEIRA, INCLUINDO MÃO DE OBRA;18328118022005;18.328.118/0220-05
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0039;0039;CENTRO DE DISTRIBUICAO;CDEM-SP;01/02/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;CD;MARYANE;CD; R$ 741,65 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. Fevereiro/23;18328118003809;18.328.118/0038-09
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0041;0041;PETZ ALTO DA BOA VISTA;ABVT-SP;01/02/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP1;MARYANE;R1; R$ 741,65 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. Fevereiro/23;18328118004015;18.328.118/0040-15
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0208;0208;PETZ AVENIDA ANGELICA;ANGL-SP;01/02/2023;PREVENTIVA;PIETRA;000105309;13/11/2023;24/04/2024;12/04/2024;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP2;FELICIO;R3; R$ 741,65 ;MANUTENÇÃO PREVENTIVA;18328118019551;18.328.118/0195-51
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0018;0018;PETZ BANDEIRANTES;BAND-SP;01/02/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP1;MARYANE;R1; R$ 741,65 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. Fevereiro/23;18328118001504;18.328.118/0015-04
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0019;0019;PETZ BUTANTA;BTTA-SP;01/02/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;SP2;FELICIO;R3; R$ 741,65 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. Fevereiro/23;18328118000885;18.328.118/0008-85
PREVENTIVA;00379469;01.704.331/0001-75;INFRALINK SERVIÇOS DE INFRA ESTRUTURA E MANUTENÇÃO LTDA;04 0230;0230;PETZ CAMPO GRANDE RIO;CGDR-RJ;01/02/2023;PREVENTIVA;;;;;;000030;3;1;08;N;11002;11002;;AR CONDICIONADO;PREVENTIVA;;CONTRATOS;;RJ;MARYANE;R1; R$ 1.197,37 ;MANUTENÇÃO PREVENTIVA DE AR CONDICIONADO REF. Fevereiro/23;18.328.118/0241-21;18.328.118/0241-21
